filenames,trial_IDs,numericTags,locations,flagNums,avgForce,avgStiffness,avgStickSlip,avgYield
WS23_L3_T1_P_14_Thu_Mar__9_14_57_27_2023.csv,L3T1F14,64,3,14,6.653616594,4571.818185,0.005149677,12.97251818
WS23_L3_T1_P_15_Thu_Mar__9_15_04_29_2023.csv,L3T1F15,65,3,15,22.53617097,2210.934742,0.015322968,33.84569903
WS23_L3_T1_P_16_Thu_Mar__9_15_06_27_2023.csv,L3T1F16,66,3,16,18.96913532,2450.466334,0.014057219,34.44030592
WS23_L3_T1_P_17_Thu_Mar__9_15_08_07_2023.csv,L3T1F17,67,3,17,12.15240358,2865.95161,0.007987477,26.50569402
WS23_L3_T1_P_18_Thu_Mar__9_15_09_50_2023.csv,L3T1F18,68,3,18,17.0716693,2440.109109,0.00807827,21.76274229
WS23_L3_T1_P_19_Thu_Mar__9_15_12_14_2023.csv,L3T1F19,69,3,19,6.955496926,788.2900414,0.013668917,10.05395819
WS23_L3_T1_P_20_Thu_Mar__9_15_13_35_2023.csv,L3T1F20,71,3,20,2.313773643,866.0354457,0.004159421,5.680259783
WS23_L3_T1_P_21_Thu_Mar__9_15_15_39_2023.csv,L3T1F21,72,3,21,12.97743803,9380.212862,0.002020717,23.25800456
WS23_L3_T1_P_22_Thu_Mar__9_15_17_08_2023.csv,L3T1F22,73,3,22,22.57993857,16026.31666,0.002560213,41.66105257
WS23_L3_T1_P_23_Thu_Mar__9_15_19_27_2023.csv,L3T1F23,74,3,23,3.731471802,2353.76615,0.00432921,9.800190097
WS23_L3_T1_P_24_Fri_Mar_10_09_18_43_2023.csv,L3T1F24,75,3,24,3.370311594,547.1858587,0.008396635,5.481492273
WS23_L3_T1_P_25_Fri_Mar_10_09_22_50_2023.csv,L3T1F25,76,3,25,1.330803139,945.7687733,0.002289129,1.940573021
WS23_L3_T1_P_26_Fri_Mar_10_09_26_22_2023.csv,L3T1F26,77,3,26,0.608830869,1266.297405,0.000900088,0.550637362
WS23_L3_T1_P_27_Fri_Mar_10_09_46_23_2023.csv,L3T1F27,78,3,27,2.357473168,737.7018037,0.018928334,13.38472566
WS23_L3_T1_P_27_trial2_Fri_Mar_10_09_51_50_2023.csv,L3T1F27,79,3,27,1.394512151,917.2514181,0.002958549,2.197936936
WS23_L3_T1_P_28_Fri_Mar_10_10_00_09_2023.csv,L3T1F28,80,3,28,6.158633615,1155.673786,0.016048849,18.58888649
WS23_L3_T1_P_29_Fri_Mar_10_10_03_23_2023.csv,L3T1F29,81,3,29,3.531676873,306.771977,0.016158022,6.516670626
WS23_L3_T1_P_30_Fri_Mar_10_10_18_19_2023.csv,L3T1F30,83,3,30,25.21933349,4434.22458,0.008685499,38.56680806
WS23_L3_T1_P_31_Fri_Mar_10_11_01_55_2023.csv,L3T1F31,84,3,31,19.80643582,3827.127295,0.009837165,37.83585227
WS23_L3_T1_P_32_Fri_Mar_10_11_03_49_2023.csv,L3T1F32,85,3,32,13.90559681,1426.895142,0.016917869,24.07222435
WS23_L3_T1_P_33_Fri_Mar_10_11_06_29_2023.csv,L3T1F33,86,3,33,12.99041006,1974.048341,0.016066432,31.859063
WS23_L1_T1_P_0_Tue_Mar__7_12_57_03_2023.csv,L1T1F0,26,1,0,1.843276861,109.2938527,0.043338388,4.965423009
WS23_L1_T1_P_0_trial_2_Tue_Mar__7_13_00_12_2023.csv,L1T1F0,27,1,0,2.14895309,630.7580446,0.006156445,3.287917805
WS23_L1_T1_P_1_Tue_Mar__7_13_11_25_2023.csv,L1T1F1,40,1,1,2.474825155,502.3484219,0.023389921,11.78299706
WS23_L1_T1_P_2_Tue_Mar__7_13_23_05_2023.csv,L1T1F2,46,1,2,3.674469353,487.6952955,0.009791546,5.725198623
WS23_L1_T1_P_3_Tue_Mar__7_13_25_59_2023.csv,L1T1F3,47,1,3,14.94039789,1981.86774,0.015144542,30.05053627
WS23_L1_T1_P_4_Tue_Mar__7_13_28_51_2023.csv,L1T1F4,48,1,4,19.03731452,3162.29649,0.010732725,33.9487413
WS23_L1_T1_P_5_Tue_Mar__7_13_47_55_2023.csv,L1T1F5,49,1,5,4.054817585,752.8421039,0.019635618,14.81779453
WS23_L1_T1_P_6_Tue_Mar__7_13_55_24_2023.csv,L1T1F6,50,1,6,7.956660781,2539.292652,0.005329013,15.5023258
WS23_L1_T1_P_7_Tue_Mar__7_14_00_05_2023.csv,L1T1F7,51,1,7,12.00586335,2010.605713,0.015105769,30.40530633
WS23_L1_T1_P_8_Tue_Mar__7_14_04_00_2023.csv,L1T1F8,52,1,8,12.94721362,2137.370999,0.014716178,31.51642069
WS23_L1_T1_P_9_Tue_Mar__7_14_07_59_2023.csv,L1T1F9,53,1,9,7.274233945,1847.600574,0.013563752,25.07671764
WS23_L1_T1_P_10_Tue_Mar__7_14_10_57_2023.csv,L1T1F10,28,1,10,9.930762948,3188.317679,0.010912165,34.83190019
WS23_L1_T1_P_11_Trial2_Tue_Mar__7_14_17_43_2023.csv,L1T1F11,29,1,11,12.3399534,2731.762962,0.012262985,33.58296195
WS23_L1_T1_P_11_Tue_Mar__7_14_15_19_2023.csv,L1T1F11,30,1,11,16.08812172,7969.447355,0.004738808,37.78301314
WS23_L1_T1_P_12_Tue_Mar__7_14_20_36_2023.csv,L1T1F12,31,1,12,11.76545532,1639.238082,0.018179551,29.81035628
WS23_L1_T1_P_12_trial2_Tue_Mar__7_14_22_56_2023.csv,L1T1F12,32,1,12,18.1824023,2827.031109,0.010651752,30.25798959
WS23_L1_T1_P_13_Tue_Mar__7_14_26_31_2023.csv,L1T1F13,33,1,13,15.97918089,1927.567722,0.015905961,30.83205453
WS23_L1_T1_P_14_Tue_Mar__7_14_28_39_2023.csv,L1T1F14,34,1,14,23.22343015,2385.084948,0.01411058,33.67489533
WS23_L1_T1_P_15_Tue_Mar__7_14_31_03_2023.csv,L1T1F15,35,1,15,11.94333608,1040.303165,0.02312386,24.24036172
WS23_L1_T1_P_16_Tue_Mar__7_14_50_32_2023.csv,L1T1F16,36,1,16,27.32842816,4110.213391,0.008923352,36.64679626
WS23_L1_T1_P_17_Tue_Mar__7_14_53_33_2023.csv,L1T1F17,37,1,17,14.88424076,22228.29265,0.001397833,31.54438236
WS23_L1_T1_P_18_Tue_Mar__7_14_56_34_2023.csv,L1T1F18,38,1,18,19.69488299,24021.28928,0.001636937,39.57950021
WS23_L1_T1_P_19_Tue_Mar__7_14_58_32_2023.csv,L1T1F19,39,1,19,5.594095766,416.5950098,0.032015443,13.35454587
WS23_L1_T1_P_20_Wed_Mar__8_10_16_24_2023.csv,L1T1F20,41,1,20,12.01110626,12163.46022,0.002202958,26.91285056
WS23_L1_T1_P_20_trial2_Wed_Mar__8_10_40_53_2023.csv,L1T1F20,42,1,20,15.06100126,15901.33877,0.002253234,35.88737933
WS23_L1_T1_P_21_aWed_Mar__8_11_20_59_2023.csv,L1T1F21,43,1,21,3.168456441,1918.842799,0.011270151,21.6962886
WS23_L1_T1_P_22_Wed_Mar__8_10_58_12_2023.csv,L1T1F22,44,1,22,12.7895505,3858.580446,0.008792922,33.93539418
WS23_L1_T1_P_23_Wed_Mar__8_11_01_11_2023.csv,L1T1F23,45,1,23,19.15982362,4171.370354,0.009483904,39.60146345
WS23_L2_T1_P_0_Wed_Mar__8_13_32_29_2023.csv,L2T1F0,0,2,0,18.25786829,5684.176653,0.002544602,21.74457281
WS23_L2_T1_P_1_Wed_Mar__8_13_34_22_2023.csv,L2T1F1,11,2,1,14.64099935,1558.948841,0.017734826,27.80097933
WS23_L2_T1_P_2_Wed_Mar__8_13_36_38_2023.csv,L2T1F2,18,2,2,10.96433452,1538.447853,0.018238574,28.08976261
WS23_L2_T1_P_3_Wed_Mar__8_13_38_43_2023.csv,L2T1F3,19,2,3,8.574330222,467.8701309,0.031023055,14.57664879
WS23_L2_T1_P_4_Wed_Mar__8_13_40_45_2023.csv,L2T1F4,20,2,4,9.174863159,2273.731295,0.006138111,16.00357326
WS23_L2_T1_P_5_Wed_Mar__8_13_42_31_2023.csv,L2T1F5,21,2,5,11.99435941,1118.250842,0.022277623,25.0766057
WS23_L2_T1_P_6_Wed_Mar__8_13_44_17_2023.csv,L2T1F6,22,2,6,4.053953137,287.9275063,0.037305921,10.94573122
WS23_L2_T1_P_7_Wed_Mar__8_13_56_22_2023.csv,L2T1F7,23,2,7,3.036740716,1312.852708,0.004259152,3.864868468
WS23_L2_T1_P_8_Wed_Mar__8_14_01_15_2023.csv,L2T1F8,24,2,8,3.623556812,2958.991229,0.003655558,5.314126224
WS23_L2_T1_P_9_Wed_Mar__8_14_03_37_2023.csv,L2T1F9,25,2,9,9.011330297,1128.639129,0.022352353,25.2552434
WS23_L2_T1_P_10_Wed_Mar__8_14_06_06_2023.csv,L2T1F10,1,2,10,17.26253816,2446.479169,0.013286188,32.60637453
WS23_L2_T1_P_11_Wed_Mar__8_14_08_53_2023.csv,L2T1F11,2,2,11,12.27071124,13777.52362,0.001962379,27.26413184
WS23_L2_T1_P_12_Wed_Mar__8_14_12_28_2023.csv,L2T1F12,3,2,12,10.07782025,5494.253771,0.006133363,33.74147735
WS23_L2_T1_P_13_Wed_Mar__8_14_15_01_2023.csv,L2T1F13,4,2,13,20.01826289,4362.041963,0.007355124,32.0461123
WS23_L2_T1_P_14_Wed_Mar__8_14_17_54_2023.csv,L2T1F14,5,2,14,18.92269898,2337.575565,0.013814643,32.37260084
WS23_L2_T1_P_15_Wed_Mar__8_14_19_50_2023.csv,L2T1F15,6,2,15,17.74018245,8090.968594,0.003712222,30.01664471
WS23_L2_T1_P_16_Wed_Mar__8_14_23_29_2023.csv,L2T1F16,7,2,16,7.235243102,13783.65641,0.001716413,18.87290935
WS23_L2_T1_P_17_Wed_Mar__8_14_25_39_2023.csv,L2T1F17,8,2,17,8.021584849,664.5652082,0.014057614,13.81843489
WS23_L2_T1_P_18_Thu_Mar__9_09_22_39_2023.csv,L2T1F18,9,2,18,2.388591995,882.4163076,0.005042404,2.96101013
WS23_L2_T1_P_19_Thu_Mar__9_09_28_04_2023.csv,L2T1F19,10,2,19,3.86515462,285.3499321,0.038259268,10.92921136
WS23_L2_T1_P_20_Thu_Mar__9_09_31_01_2023.csv,L2T1F20,12,2,20,3.564429097,455.4916992,0.008217742,4.699202767
WS23_L2_T1_P_21_Thu_Mar__9_09_46_19_2023.csv,L2T1F21,13,2,21,4.71072485,5538.964659,0.001595251,7.750756711
WS23_L2_T1_P_22_Thu_Mar__9_09_50_55_2023.csv,L2T1F22,14,2,22,11.82053151,5089.144772,0.005159572,26.40523299
WS23_L2_T1_P_23_Thu_Mar__9_10_07_15_2023.csv,L2T1F23,15,2,23,18.2457317,9315.463982,0.004308969,40.30461905
WS23_L2_T1_P_24_Thu_Mar__9_10_09_51_2023.csv,L2T1F24,16,2,24,15.56505927,13238.48022,0.002426714,32.25980857
WS23_L2_T1_P_25_Thu_Mar__9_10_12_31_2023.csv,L2T1F25,17,2,25,14.99456688,11762.34792,0.00194411,28.65857335
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
WS23_L2_T2_P_0_Wed_Mar__8_14_36_09_2023.csv,L2T2F0,54,2,0,13.12033055,1773.98358,0.016284421,29.00244533
WS23_L2_T2_P_1_Wed_Mar__8_14_41_11_2023.csv,L2T2F1,55,2,1,14.45189073,6038.011961,0.003498696,25.0853293
WS23_L2_T2_P_2_Wed_Mar__8_14_43_07_2023.csv,L2T2F2,56,2,2,9.938315972,1373.468637,0.006455759,12.81075176
WS23_L2_T2_P_3_Wed_Mar__8_14_44_58_2023.csv,L2T2F3,57,2,3,13.08595483,3622.411415,0.005441062,19.56255408
WS23_L2_T2_P_4_Wed_Mar__8_14_46_22_2023.csv,L2T2F4,58,2,4,13.82086522,1358.066023,0.009872898,19.27190307
